127.0.0.1 - - [30/Jan/2019:09:34:18 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:19 +0900] "GET /ShoppingSite/index.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:19 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:24 +0900] "GET /ShoppingSite/GoLoginAction.action;jsessionid=1134424AA85DBE89882157711A482AC2 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:27 +0900] "GET /ShoppingSite/LoginAction?login_user_id=admin&login_pass=pass HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:29 +0900] "GET /ShoppingSite/GoUserPageAction.action HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:30 +0900] "GET /ShoppingSite/LogoutAction.action HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:34:31 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:09:38:09 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 9971
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:48 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:49 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:53 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:54 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:54 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 9641
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:08:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:38 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:38 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 9670
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:44 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:44 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 9672
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:45 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:45 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 200 9672
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [30/Jan/2019:10:09:56 +0900] "GET /ShoppingSite/GoLoginAction.action HTTP/1.1" 200 2695
